"age","sex","race_eth","region","ever_smoker","poverty","employed","repstrain",".weight",".pseudo_stratum",".pseudo_psu"
"65+","Male","Non-Hispanic Black","South",FALSE,FALSE,FALSE,FALSE,7371.139,103,2
"65+","Male","Non-Hispanic White","South",TRUE,FALSE,FALSE,FALSE,3146.794,122,2
"45-64","Male","Non-Hispanic Black","South",FALSE,FALSE,TRUE,FALSE,10807.558,122,2
"25-44","Female","Non-Hispanic White","South",TRUE,FALSE,TRUE,FALSE,4661.643,122,2
"45-64","Female","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,10929.554,122,2
"45-64","Female","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,3613.145,122,2
"25-44","Female","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,13371.475,103,2
"25-44","Male","Non-Hispanic Black","South",FALSE,FALSE,TRUE,FALSE,13007.002,103,5
"65+","Female","Non-Hispanic White","South",TRUE,FALSE,FALSE,FALSE,3617.016,103,5
"45-64","Male","Non-Hispanic Black","South",TRUE,FALSE,TRUE,TRUE,5493.734,115,1
"65+","Female","Non-Hispanic White","South",NA,TRUE,NA,NA,20349.249,115,3
"45-64","Male","Non-Hispanic White","South",TRUE,FALSE,FALSE,FALSE,4828.506,115,3
"65+","Female","Non-Hispanic White","South",FALSE,TRUE,FALSE,FALSE,4215.662,115,3
"25-44","Male","Non-Hispanic White","South",NA,FALSE,NA,NA,11455.584,115,2
"25-44","Female","Hispanic","South",NA,FALSE,NA,NA,10413.492,115,2
"25-44","Female","Non-Hispanic White","South",TRUE,FALSE,TRUE,FALSE,4795.566,115,2
"45-64","Male","Non-Hispanic White","South",TRUE,FALSE,TRUE,FALSE,9084.029,115,3
"45-64","Male","Non-Hispanic Black","South",FALSE,FALSE,TRUE,FALSE,13539.192,115,3
"45-64","Male","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,8647.442,115,3
"25-44","Male","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,11555.357,115,3
"25-44","Male","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,10929.028,122,3
"45-64","Female","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,13206.919,103,1
"65+","Male","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,3375.404,103,1
"45-64","Female","Non-Hispanic White","South",TRUE,TRUE,FALSE,FALSE,4855.192,122,3
"65+","Female","Non-Hispanic White","South",FALSE,TRUE,FALSE,FALSE,4238.11,122,3
"45-64","Male","Non-Hispanic Black","South",FALSE,FALSE,TRUE,FALSE,11024.937,103,4
"65+","Female","Non-Hispanic White","South",TRUE,FALSE,TRUE,FALSE,4337.243,103,4
"45-64","Female","Non-Hispanic Black","South",FALSE,FALSE,FALSE,TRUE,5493.365,103,4
"65+","Male","Non-Hispanic White","South",TRUE,FALSE,TRUE,FALSE,8366.185,103,4
"65+","Female","Non-Hispanic Black","South",TRUE,FALSE,FALSE,FALSE,3339.9,103,3
"65+","Female","Non-Hispanic Black","South",NA,TRUE,NA,FALSE,3582.669,103,3
"45-64","Female","Non-Hispanic White","South",NA,FALSE,NA,NA,17637.011,115,3
"18-24","Female","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,12462.822,103,3
"18-24","Female","Non-Hispanic White","South",FALSE,TRUE,TRUE,FALSE,12462.822,103,3
"65+","Female","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,4802.428,122,1
"65+","Female","Non-Hispanic Black","South",FALSE,FALSE,FALSE,TRUE,3507.68,122,1
"25-44","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,4560.799,143,1
"45-64","Female","Non-Hispanic Other","West",TRUE,FALSE,TRUE,FALSE,3730.33,143,1
"25-44","Female","Non-Hispanic Other","West",FALSE,FALSE,TRUE,FALSE,6382.555,111,1
"25-44","Female","Non-Hispanic Black","West",FALSE,FALSE,TRUE,FALSE,12497.306,111,1
"45-64","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,TRUE,6499.156,111,1
"25-44","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,5311.558,111,1
"45-64","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,TRUE,4233.713,123,1
"18-24","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,3082.146,123,1
"45-64","Female","Non-Hispanic Other","West",FALSE,FALSE,FALSE,FALSE,4019.224,123,1
"45-64","Male","Non-Hispanic Other","West",TRUE,FALSE,FALSE,FALSE,4857.389,123,1
"25-44","Female","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,2574.237,123,1
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,2197.036,108,1
"25-44","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,TRUE,7294.227,108,1
"65+","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,2997.798,108,1
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,3333.95,108,1
"18-24","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,15967.794,108,3
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,7447.658,108,3
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,6907.991,108,3
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,7882.323,108,3
"25-44","Male","Non-Hispanic Black","West",TRUE,FALSE,TRUE,FALSE,6814.7,100,1
"45-64","Female","Hispanic","West",FALSE,TRUE,FALSE,FALSE,15151.298,100,1
"18-24","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,11200.218,100,1
"65+","Female","Non-Hispanic Black","West",TRUE,FALSE,TRUE,FALSE,2016.802,138,5
"65+","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,4175.648,138,3
"45-64","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,4608.698,100,6
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,TRUE,3087.503,100,6
"25-44","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,9914.465,100,6
"65+","Female","Hispanic","West",TRUE,FALSE,FALSE,FALSE,10262.446,138,1
"65+","Male","Non-Hispanic White","West",FALSE,TRUE,FALSE,FALSE,2495.715,100,1
"45-64","Female","Hispanic","West",TRUE,FALSE,TRUE,FALSE,7799.766,100,3
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,3597.584,100,5
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,8397.06,100,2
"25-44","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,12617.456,100,3
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,6250.918,100,6
"25-44","Male","Non-Hispanic Black","West",FALSE,FALSE,TRUE,FALSE,19469.815,138,2
"45-64","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,4394.71,138,2
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,TRUE,5766.546,100,5
"18-24","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,22145.496,100,5
"18-24","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,16796.494,100,2
"65+","Female","Non-Hispanic White","West",FALSE,TRUE,FALSE,FALSE,14435.193,138,5
"45-64","Male","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,23318.615,138,3
"25-44","Female","Hispanic","West",TRUE,FALSE,TRUE,FALSE,12993.031,138,3
"65+","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,10013.993,138,1
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,11050.987,138,1
"65+","Male","Non-Hispanic White","West",TRUE,TRUE,FALSE,TRUE,3378.08,108,2
"25-44","Female","Hispanic","West",FALSE,TRUE,TRUE,FALSE,3039.246,108,2
"18-24","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,9704.393,100,4
"25-44","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,4265.149,100,4
"25-44","Female","Non-Hispanic Black","West",TRUE,FALSE,NA,FALSE,7131.211,100,4
"18-24","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,4852.197,100,4
"45-64","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,14753.818,100,4
"45-64","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,6098.685,100,4
"45-64","Male","Non-Hispanic Other","West",TRUE,TRUE,TRUE,TRUE,3789.621,100,2
"18-24","Male","Hispanic","West",FALSE,FALSE,FALSE,FALSE,9446.967,100,2
"18-24","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,15354.708,100,2
"25-44","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,11782.594,100,2
"45-64","Female","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,3764.629,149,7
"65+","Male","Non-Hispanic White","South",TRUE,FALSE,FALSE,FALSE,2624.215,149,7
"65+","Male","Non-Hispanic White","South",TRUE,FALSE,TRUE,FALSE,7822.301,149,7
"65+","Female","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,3218.27,102,3
"65+","Female","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,6389.765,149,5
"65+","Male","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,6399.05,149,5
"65+","Male","Non-Hispanic White","South",NA,FALSE,FALSE,FALSE,3812.998,149,7
"65+","Male","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,7468.227,149,7
"65+","Male","Non-Hispanic White","South",TRUE,TRUE,FALSE,TRUE,2661.985,130,1
"45-64","Female","Non-Hispanic White","South",TRUE,FALSE,FALSE,FALSE,9243.404,130,1
"45-64","Female","Non-Hispanic White","South",TRUE,FALSE,TRUE,FALSE,8084.064,130,1
"25-44","Male","Non-Hispanic Black","South",FALSE,TRUE,FALSE,FALSE,23714.057,149,3
"65+","Female","Non-Hispanic Black","South",FALSE,FALSE,FALSE,FALSE,5834.499,149,3
"25-44","Male","Non-Hispanic White","South",TRUE,FALSE,FALSE,TRUE,8735.756,149,3
"65+","Female","Non-Hispanic Black","South",TRUE,FALSE,FALSE,FALSE,4137.672,130,2
"45-64","Female","Non-Hispanic Black","South",FALSE,FALSE,FALSE,FALSE,4022.244,130,2
"65+","Female","Non-Hispanic White","South",FALSE,FALSE,FALSE,FALSE,9510.441,130,1
"65+","Female","Non-Hispanic White","South",TRUE,FALSE,FALSE,FALSE,8900.684,130,1
